カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,解像度,重量,発売年月,ISO感度,連写性能,価格
Canon EOS 10D,Canon,2003,https://en.wikipedia.org/wiki/Canon_EOS_10D,2025-08-27T22:49:30.008366,2003,,,,,,,,
Canon EOS 300D,Canon,2003,https://en.wikipedia.org/wiki/Canon_EOS_300D,2025-08-27T22:49:30.008384,2003,,,,,,,,
Dalsa Origin,Dalsa,2003,https://en.wikipedia.org/wiki/Dalsa_Origin,2025-08-27T22:49:30.008388,2003,,,,,,,,
Fujifilm FinePix S3000,Fujifilm,2003,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S3000,2025-08-27T22:49:30.008390,2003,,,,,,,,
Kodak EasyShare DX4530,Kodak,2003,https://en.wikipedia.org/wiki/Kodak_EasyShare_DX4530,2025-08-27T22:49:30.008393,2003,,,,,,,,
Minolta Dimage A1,Minolta,2003,https://en.wikipedia.org/wiki/Minolta_Dimage_A1,2025-08-27T22:49:30.008396,2003,,,,,,,,
Nikon Coolpix 5400,Nikon,2003,https://en.wikipedia.org/wiki/Nikon_Coolpix_5400,2025-08-27T22:49:30.008398,2003,,,,,,,,
Olympus C-150,Olympus,2003,https://en.wikipedia.org/wiki/Olympus_C-150,2025-08-27T22:49:30.008400,2003,,,,,,,,
Olympus C-350 Zoom,Olympus,2003,https://en.wikipedia.org/wiki/Olympus_C-350_Zoom,2025-08-27T22:49:30.008403,2003,,Digital CCD,,,,,,
Olympus C-740UZ,Olympus,2003,https://en.wikipedia.org/wiki/Olympus_C-740UZ,2025-08-27T22:49:30.008405,2003,,,,,,,,
Olympus E-1,Olympus,2003,https://en.wikipedia.org/wiki/Olympus_E-1,2025-08-27T22:49:30.008408,2003,,[[Kodak]] KAF-5101C [[Four Thirds System]] [[Frame transfer CCD|FFT CCD]],"2,560 × 1,920 (4.9 million)",{{convert|23|oz|g|abbr=on}} without battery or storage card,,ISO 100-800 with 1600 or 3200 in 'ISO Boost' mode,,
Pentax *ist D,Pentax,2003,https://en.wikipedia.org/wiki/Pentax_*ist_D,2025-08-27T22:49:30.008410,2003,,,,,,,,
Ritz Dakota Digital,Ritz,2003,https://en.wikipedia.org/wiki/Ritz_Dakota_Digital,2025-08-27T22:49:30.008413,2003,,,,,,,,
Sigma SD10,Sigma,2003,https://en.wikipedia.org/wiki/Sigma_SD10,2025-08-27T22:49:30.008415,2003,,,,,,,,
Canon EOS 20D,Canon,2004,https://en.wikipedia.org/wiki/Canon_EOS_20D,2025-08-27T22:49:30.542766,2004,,,,,,,,
Canon EOS 30V,Canon,2004,https://en.wikipedia.org/wiki/Canon_EOS_30V,2025-08-27T22:49:30.542786,2004,,Film,,,2004,,,
Canon EOS-1D Mark II,Canon,2004,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_II,2025-08-27T22:49:30.542789,2004,,,,,,,,
Canon EOS-1Ds Mark II,Canon,2004,https://en.wikipedia.org/wiki/Canon_EOS-1Ds_Mark_II,2025-08-27T22:49:30.542792,2004,,,,,,,,
HP Photosmart M407,HP,2004,https://en.wikipedia.org/wiki/HP_Photosmart_M407,2025-08-27T22:49:30.542794,2004,,CCD,4.1 megapixels,"146 g, 172 g with batteries",,,,
Kodak DX7590 Zoom Digital Camera,Kodak,2004,https://en.wikipedia.org/wiki/Kodak_DX7590_Zoom_Digital_Camera,2025-08-27T22:49:30.542797,2004,,1&nbsp;×&nbsp;{{convert|2.5|in|mm|abbr=on}} [[Charge-coupled device|CCD]],"2576&nbsp;×&nbsp;1932&nbsp;=&nbsp;4,976,832&nbsp;[[pixel]]s (4.8 [[Pixel#Megapixel|megapixel]])",{{convert|350|g|oz|1|abbr=on}},,80 to 800 (at 1.8 megapixels); see ([[Film speed|ISO equivalent]]),,
Konica Minolta Dimage A2,Konica,2004,https://en.wikipedia.org/wiki/Konica_Minolta_Dimage_A2,2025-08-27T22:49:30.542799,2004,,CCD,3264 × 2448,{{cvt|565|g}},"February 12, 2004",,,
Konica Minolta Maxxum 7D,Konica,2004,https://en.wikipedia.org/wiki/Konica_Minolta_Maxxum_7D,2025-08-27T22:49:30.542801,2004,,,,,,,,
Nikon Coolpix 5200,Nikon,2004,https://en.wikipedia.org/wiki/Nikon_Coolpix_5200,2025-08-27T22:49:30.542804,2004,,,,,,,,
Nikon Coolpix 8400,Nikon,2004,https://en.wikipedia.org/wiki/Nikon_Coolpix_8400,2025-08-27T22:49:30.542806,2004,,,,,,,,
Nikon Coolpix 8700,Nikon,2004,https://en.wikipedia.org/wiki/Nikon_Coolpix_8700,2025-08-27T22:49:30.542808,2004,,,,,,,,
Nikon D2X,Nikon,2004,https://en.wikipedia.org/wiki/Nikon_D2X,2025-08-27T22:49:30.542811,2004,,"23.7&nbsp;mm&nbsp;×&nbsp;15.7&nbsp;mm [[CMOS]], [[Nikon DX format|DX format]]","4,288 × 2,848 (12.2 [[megapixel]]s)","{{convert|1070|g|lb|2|abbr=on}} without batteries, {{convert|1252|g|lb|2|abbr=on}} with batteries",September 2004,"ISO equivalency 100 to 3200 in 1/3, 1/2 or 1.0 EV steps (100–800 only in auto-ISO mode)",,
Nikon D70,Nikon,2004,https://en.wikipedia.org/wiki/Nikon_D70,2025-08-27T22:49:30.542842,2004,,,,,,,,
Olympus C-310 Zoom,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_C-310_Zoom,2025-08-27T22:49:30.542845,2004,,,,,,,,
Olympus C-765 Ultra Zoom,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_C-765_Ultra_Zoom,2025-08-27T22:49:30.542848,2004,,,,,,,,
Olympus C-770 Ultra Zoom,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_C-770_Ultra_Zoom,2025-08-27T22:49:30.542850,2004,,,,,,,,
Olympus C-7000 Zoom,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_C-7000_Zoom,2025-08-27T22:49:30.542852,2004,,,,,,,,
Olympus C-8080 Wide Zoom,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_C-8080_Wide_Zoom,2025-08-27T22:49:30.542855,2004,,[[Charge-coupled device|2/3-inch type CCD]],"3,264 × 2,448 (8 million)",{{convert|724|gr|abbr=on}} incl batt.,,"50-400 in 9 steps, comp. +/-2EV",,
Olympus E-300,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_E-300,2025-08-27T22:49:30.542857,2004,,[[Kodak]] KAF-8300CE [[Four Thirds System]] FFT-[[Charge-coupled device|CCD]],"3,264 × 2,448 (8 million)",624 g (22 oz),,100 to 1600,,
Olympus IR-500,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_IR-500,2025-08-27T22:49:30.542859,2004,,,,,,,,
Olympus Stylus 410,Olympus,2004,https://en.wikipedia.org/wiki/Olympus_Stylus_410,2025-08-27T22:49:30.542870,2004,,,,Weight {{convert|5.6|oz|g|abbr=on}} without battery and media card,May 2004,,,
Pentax Optio S50,Pentax,2004,https://en.wikipedia.org/wiki/Pentax_Optio_S50,2025-08-27T22:49:30.542873,2004,,CCD,2560 x 1920 (5 megapixels),180g including battery,<!-- Release date -->,,,
Canon EOS 5D,Canon,2005,https://en.wikipedia.org/wiki/Canon_EOS_5D,2025-08-27T22:49:31.068121,2005,,35.8 x 23.9 mm [[Active pixel sensor|CMOS]] ([[Full-frame digital SLR|full-frame]]),"4,368 × 2,912 <br>(12.7 effective [[megapixels]])",810 g (body only),October 2005,100-1600 expandable to 50 (L) and 3200 (H),,
Canon EOS 20Da,Canon,2005,https://en.wikipedia.org/wiki/Canon_EOS_20Da,2025-08-27T22:49:31.068136,2005,,,,,,,,
Canon EOS 350D,Canon,2005,https://en.wikipedia.org/wiki/Canon_EOS_350D,2025-08-27T22:49:31.068139,2005,,,,,,,,
Fujifilm FinePix S5200,Fujifilm,2005,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S5200,2025-08-27T22:49:31.068141,2005,,1/2.5-inch [[Super CCD]],2592x1944 (5.1 [[Pixel#Megapixel|megapixels]]),,,64-1600,,
Kodak EasyShare C330,Kodak,2005,https://en.wikipedia.org/wiki/Kodak_EasyShare_C330,2025-08-27T22:49:31.068144,2005,,,4.0 [[megapixels]],145 g (body only),,,,
Nikon Coolpix 7900,Nikon,2005,https://en.wikipedia.org/wiki/Nikon_Coolpix_7900,2025-08-27T22:49:31.068147,2005,,,,,,,,
Nikon Coolpix S1,Nikon,2005,https://en.wikipedia.org/wiki/Nikon_Coolpix_S1,2025-08-27T22:49:31.068149,2005,,,,,,,,
Nikon D50,Nikon,2005,https://en.wikipedia.org/wiki/Nikon_D50,2025-08-27T22:49:31.068152,2005,,,,,,,,
Olympus E-500,Olympus,2005,https://en.wikipedia.org/wiki/Olympus_E-500,2025-08-27T22:49:31.068154,2005,,,,,,,,
Olympus SP-350,Olympus,2005,https://en.wikipedia.org/wiki/Olympus_SP-350,2025-08-27T22:49:31.068156,2005,,,,,,,,
Olympus SP-500 Ultra Zoom,Olympus,2005,https://en.wikipedia.org/wiki/Olympus_SP-500_Ultra_Zoom,2025-08-27T22:49:31.068159,2005,,,,,,,,
Ricoh GR Digital,Ricoh,2005,https://en.wikipedia.org/wiki/Ricoh_GR_Digital,2025-08-27T22:49:31.068161,2005,,"1/1.8"" [[Charge-coupled device|CCD]] (8.1 [[Megapixel#Megapixel|Megapixels]])",3264 × 2448,{{Convert|200|g|abbr=on}} (with batteries and strap),,"64, 100, 200, 400, 800, 1600 (not available in RAW mode)",,
Sony Cyber-shot DSC-R1,Sony,2005,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-R1,2025-08-27T22:49:31.068163,2005,,,,,,,,
Canon EOS 30D,Canon,2006,https://en.wikipedia.org/wiki/Canon_EOS_30D,2025-08-27T22:49:31.586924,2006,,,,,,,,
Canon EOS 400D,Canon,2006,https://en.wikipedia.org/wiki/Canon_EOS_400D,2025-08-27T22:49:31.586943,2006,,[[CMOS]] [[APS-C]] 22.2&nbsp;mm × 14.8&nbsp;mm (1.6× conversion factor),"10.1 effective megapixels, 3,888 × 2,592",{{cvt|510|g|oz}} (body only),,ISO 100 to 1600,,
Canon PowerShot S3 IS,Canon,2006,https://en.wikipedia.org/wiki/Canon_PowerShot_S3_IS,2025-08-27T22:49:31.586947,2006,,,,,,,,
Flip Video,Flip,2006,https://en.wikipedia.org/wiki/Flip_Video,2025-08-27T22:49:31.586951,2006,,,,,,,,
Fujifilm FinePix S6500fd,Fujifilm,2006,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S6500fd,2025-08-27T22:49:31.586954,2006,,,,,,,,
Leica M8,Leica,2006,https://en.wikipedia.org/wiki/Leica_M8,2025-08-27T22:49:31.586957,2006,,[[CCD sensor|CCD]],10.3 effective [[megapixels]] (3936 x 2630 pixels),545 g without battery  591 with,,160 to 2500,,
Nikon Coolpix S10,Nikon,2006,https://en.wikipedia.org/wiki/Nikon_Coolpix_S10,2025-08-27T22:49:31.586959,2006,,[[Charge-coupled device|CCD]],"2,816 × 2,112","220g. (7.8 oz.) [Not inc batteries, memory card, or lens cap]",<!-- Release date -->,"50, 100, 200, 400, 800 (ISO equivalent)",,
Nikon D40,Nikon,2006,https://en.wikipedia.org/wiki/Nikon_D40,2025-08-27T22:49:31.586962,2006,,[[Nikon DX format]] {{cvt|23.7|×|15.6|mm}} [[Charge-coupled device|CCD]],"3,008 × 2,000 (6.1 effective megapixels)",{{cvt|475|g}} without battery <br />{{cvt|524.1|g}} with battery&nbsp;<ref>{{cite web|title=Nikon D40 Specifications | url = http://www.kenrockwell.com/nikon/d40/d40-specifications.htm#spex|publisher=Ken Rockwell|access-date=2012-12-18}}</ref> <br />729&nbsp;g with battery and AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED II kit lens <ref>{{cite web,,"ISO 200-1600, ISO 3200 in high mode",,
Nikon D80,Nikon,2006,https://en.wikipedia.org/wiki/Nikon_D80,2025-08-27T22:49:31.586965,2006,,"23.6&nbsp;mm × 15.8&nbsp;mm [[Nikon DX format]] RGB [[Charge-coupled device|CCD sensor]], 1.5 × [[Image sensor format|FOV crop]]","3,872 × 2,592 (10.2 effective megapixels)","Approx. {{convert|585|g|lb|abbr=on}} without battery, memory card, body cap, or monitor cover",,"100–1600 in 1/2 or 1/3 EV steps, up to 3200 as boost",,
Olympus E-330,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_E-330,2025-08-27T22:49:31.586967,2006,,17.3 x 13.0 mm [[Four Thirds System]] [[Live MOS]] sensor<br />2x [[Image sensor format|FOV crop]],3136 x 2352 (7.4 effective [[Pixel#Megapixel|Megapixels]]),Approx. 550g ( body only),,"ISO  100 to 400 in 1/3, or 1.0 EV steps<br />Limiter for 800 or less / expandable 1600",,
Olympus E-400,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_E-400,2025-08-27T22:49:31.586970,2006,,17.3 x 13.0 mm [[Four Thirds System]] Kodak KAI-10100 RGB [[Charge-coupled device|CCD]] sensor<br />2x [[Image sensor format|FOV crop]],3648 x 2736 (10 effective [[Pixel#Megapixel|Megapixels]]),375 g (body only),,ISO 100–1600 in  1/3 steps<br />Noise warning for > ISO 800,,
Olympus μ700,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_μ700,2025-08-27T22:49:31.586975,2006,,,,,,,,
Olympus μ720 SW,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_μ720_SW,2025-08-27T22:49:31.586978,2006,,,,,,,,
Olympus SP-510 Ultra Zoom,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_SP-510_Ultra_Zoom,2025-08-27T22:49:31.586981,2006,,,,,,,,
Olympus Stylus 725 SW,Olympus,2006,https://en.wikipedia.org/wiki/Olympus_Stylus_725_SW,2025-08-27T22:49:31.586984,2006,,,,,,,,
Panasonic Lumix DMC-FZ7,Panasonic,2006,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-FZ7,2025-08-27T22:49:31.586986,2006,,1/2.5 in [[Charge-coupled device|CCD]],2816×2112 (six [[megapixels]]),310 g (without battery),2006,ISO 80-1600,,
Pentax K10D,Pentax,2006,https://en.wikipedia.org/wiki/Pentax_K10D,2025-08-27T22:49:31.586989,2006,,Interline/interlace [[Charge-coupled device|CCD]] with a primary color filter. APS-C 23.5 x 15.7 mm,"3,872 × 2,592 (10.2&nbsp;[[megapixels]])","710&nbsp;g (25 oz) without battery, 785&nbsp;g with battery",,"ISO Auto, 100, 200, 400, 800, 1600,",,
Pentax K100D,Pentax,2006,https://en.wikipedia.org/wiki/Pentax_K100D,2025-08-27T22:49:31.586991,2006,,[[APS-C]] (23.5 x 15.7 mm) Interline interlace [[Charge-coupled device|CCD]] with a primary color filter,"3,008 x 2,000 (6&nbsp;[[megapixels]])",565 g (1.2 lb),,"ISO Auto, 200, 400, 800, 1600, 3200",,
Sony α,Sony,2006,https://en.wikipedia.org/wiki/Sony_α,2025-08-27T22:49:31.586994,2006,,,,,,,,
Canon EOS 40D,Canon,2007,https://en.wikipedia.org/wiki/Canon_EOS_40D,2025-08-27T22:49:32.104491,2007,,,,,,,,
Canon EOS-1D Mark III,Canon,2007,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_III,2025-08-27T22:49:32.104509,2007,,,,,,,,
Canon EOS-1Ds Mark III,Canon,2007,https://en.wikipedia.org/wiki/Canon_EOS-1Ds_Mark_III,2025-08-27T22:49:32.104512,2007,,36&nbsp;mm × 24&nbsp;mm [[CMOS]],"5,616 × 3,744 (21.1 effective [[megapixel]]s)",{{convert|1205|g|abbr=on}} (body only),November 2007,"100–1600 in 1/3 stops, plus 50, 3200 as option",,$6999.00
Microsoft RoundTable,Microsoft,2007,https://en.wikipedia.org/wiki/Microsoft_RoundTable,2025-08-27T22:49:32.104515,2007,,,,,,,,
Nikon Coolpix P5000,Nikon,2007,https://en.wikipedia.org/wiki/Nikon_Coolpix_P5000,2025-08-27T22:49:32.104518,2007,,,,,,,,
Nikon D40x,Nikon,2007,https://en.wikipedia.org/wiki/Nikon_D40x,2025-08-27T22:49:32.104521,2007,,,,,,,,
Olympus E-3,Olympus,2007,https://en.wikipedia.org/wiki/Olympus_E-3,2025-08-27T22:49:32.104523,2007,,[[Four Thirds System]] 18.00 × 13.50 mm [[Live MOS]],3648 × 2736 (10.1 [[megapixels]]),,,,,
Olympus E-410,Olympus,2007,https://en.wikipedia.org/wiki/Olympus_E-410,2025-08-27T22:49:32.104526,2007,,,,,,,,
Olympus E-510,Olympus,2007,https://en.wikipedia.org/wiki/Olympus_E-510,2025-08-27T22:49:32.104528,2007,,17.30 × 13.00 mm [[Live MOS]]|,"3,648 × 2,736 (10 [[megapixels]])|",{{convert|470|g|oz|disp=or|abbr=on}} (body only)|,,100–1600|,,
Pentax Optio L40,Pentax,2007,https://en.wikipedia.org/wiki/Pentax_Optio_L40,2025-08-27T22:49:32.104531,2007,,,,,,,,
Ricoh GR Digital II,Ricoh,2007,https://en.wikipedia.org/wiki/Ricoh_GR_Digital_II,2025-08-27T22:49:32.104533,2007,,"1/1.75"" primary-color [[Charge-coupled device|CCD]] (10.1 [[Megapixel#Megapixel|megapixels]])",3648 x 2736,200 g (with batteries and strap),,"80, 100, 200, 400, 800, 1600",,
Sigma SD14,Sigma,2007,https://en.wikipedia.org/wiki/Sigma_SD14,2025-08-27T22:49:32.104536,2007,,,,,,,,
Canon EOS 5D Mark II,Canon,2008,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_II,2025-08-27T22:49:32.631303,2008,,,"5,616 × 3,744 (21.0 effective [[megapixel]]s)",810 g (28.57 oz) (body only),November 2008,"100–6400 (expansion from 50 up to 25,600)",,$2699.00
Canon EOS 50D,Canon,2008,https://en.wikipedia.org/wiki/Canon_EOS_50D,2025-08-27T22:49:32.631324,2008,,,,,,,,
Canon EOS 450D,Canon,2008,https://en.wikipedia.org/wiki/Canon_EOS_450D,2025-08-27T22:49:32.631327,2008,,,,,,,,
Canon EOS 1000D,Canon,2008,https://en.wikipedia.org/wiki/Canon_EOS_1000D,2025-08-27T22:49:32.631329,2008,,,,,,,,
Fujifilm FinePix S2000HD,Fujifilm,2008,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S2000HD,2025-08-27T22:49:32.631332,2008,,"[[Charge-coupled device|CCD]], 1/2.3 inch CCD",3648 × 2736,"386g(13.0 oz) without battery, memory card and accessories)",,,,
Leica S2,Leica,2008,https://en.wikipedia.org/wiki/Leica_S2,2025-08-27T22:49:32.631334,2008,,CCD,7500 x 5000 (38&nbsp;megapixels),1410&nbsp;g including battery,<!-- Release date -->,80-1250,,
Panasonic Lumix DMC-LX3,Panasonic,2008,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-LX3,2025-08-27T22:49:32.631337,2008,,,,,,,,
Nikon Coolpix P6000,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_Coolpix_P6000,2025-08-27T22:49:32.631339,2008,,[[Charge-coupled device|CCD]],13.5 million pixels<br /> 4224 x 3168,{{convert|0.240|kg|lb|abbr=on}},,64–6400,,
Nikon Coolpix S600,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_Coolpix_S600,2025-08-27T22:49:32.631342,2008,,,,,,,,
Nikon D3X,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_D3X,2025-08-27T22:49:32.631344,2008,,"35.9&nbsp;mm&nbsp;×&nbsp;24&nbsp;mm [[CMOS]], Nikon FX format, 5.95µm pixel size",6048 × 4032 [[pixel]]s<br /> (24.4 [[megapixel]]s),{{convert|1220|g|lb|abbr=on}},1 December 2008,"ISO equivalency 100 to 1600 in 1/3, 1/2 or 1.0 EV steps, Boost: 50–6400 in 1/3, 1/2 or 1.0 EV steps",,"$7,999.95"
Nikon D60,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_D60,2025-08-27T22:49:32.631347,2008,,"23.6 x 15.8&nbsp;mm [[Nikon DX format]] RGB [[CCD sensor]], 1.5 × [[Image sensor format|FOV crop]]",3872 x 2592 (10.2 million effective pixels),"495&nbsp;g without battery <br>522&nbsp;g with EN-EL9 battery. <br>787&nbsp;g with battery and Nikon DX 18-55mm 1:3.5-5.6 VR kit lens<ref>{{cite web|author=Andy Westlake |url=http://www.dpreview.com/lensreviews/nikon_18-55_3p5-5p6_vr_n15 |title=Nikon 18-55mm f/3.5-5.6G AF-S VR DX NIKKOR review, February 2008 |publisher=Dpreview.com |access-date=2011-11-20}}</ref><br>Approx. 126 x 94 x 64 mm (5.0 x 3.7 x 2.5 in.)",,"ISO 100-1600, with ISO 3200 deemed as ""HI 1""",,
Nikon D90,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_D90,2025-08-27T22:49:32.631349,2008,,"23.6&nbsp;mm × 15.8&nbsp;mm [[Nikon DX format]] RGBG [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]]","4,288 × 2,848 (12.3 effective megapixels)","approx. {{convert|620|g|lb|abbr=on}} without battery, {{convert|703|g|lb|abbr=on}} with battery",,"200–3200 in 1/3 EV steps, up to 6400 as high-boost, as low as 100 low-boost",,$899.95
Nikon D700,Nikon,2008,https://en.wikipedia.org/wiki/Nikon_D700,2025-08-27T22:49:32.631351,2008,,"36&nbsp;mm × 23.9&nbsp;mm [[CMOS sensor|CMOS]], 8.45&nbsp;µm pixel size","4,256 × 2,832 (12.1 million)","{{convert|995|g|oz|abbr=on}}, body only",1 July 2008,"200–6400, extended mode to 100–12800, HI2 mode 25600",,
